Ticker,Sector,ROE,Net Profit Margin,Debt to Equity,PE ratio,Revenue Growth,2015 PRICE VAR [%],Class
ROCK,Basic Materials,-0.2113,-0.0949,0.5421,0.0,0.0417,59.498437857534455,1
GOLD,Basic Materials,-0.2837,-0.2839,1.2766,0.0,-0.1826,-27.20235129328544,0
OMN,Basic Materials,0.0764,0.0116,2.7375,26.32,-0.0302,-25.334956322065,0
URG,Basic Materials,-0.2725,-0.2981,1.2355,0.0,2.8536,-23.52941671457244,0
LXU,Basic Materials,0.0452,0.0396,1.0663,36.5581,-0.2928,-76.88137800097216,0
AMWD,Basic Materials,0.1074,0.0282,0.1134,22.3955,0.1524,100.05003569957474,1
RFP,Basic Materials,-0.1315,-0.0651,0.2802,0.0,-0.0455,-56.76756040858997,0
CSTE,Basic Materials,0.2443,0.1753,0.0404,26.5867,0.2548,-27.41583947627539,0
IIIN,Basic Materials,0.093,0.0407,0.0,22.6703,0.1239,-5.208819672186677,0
BLD,Basic Materials,0.0099,0.0062,0.0,4.2,0.0712,214.0116453573316,1
UAN,Basic Materials,0.184,0.255,0.302,9.3654,-0.0773,-9.895490153012666,0
SWM,Basic Materials,0.1834,0.1129,0.8955,14.3878,0.0278,3.9556702921642497,1
GLT,Basic Materials,0.1067,0.0383,0.6233,15.9813,0.049,-26.08707659971089,0
MERC,Basic Materials,0.2578,0.0963,1.5699,6.7527,0.0797,-26.17922109820934,0
PKX,Basic Materials,0.0152,0.0098,0.6889,37.1723,0.0087,-42.02888594284632,0
AXE,Basic Materials,0.1952,0.0379,0.8089,14.6422,-0.1538,-31.515083714392084,0
DOOR,Basic Materials,-0.0526,-0.0203,0.7101,0.0,0.0616,0.5418686503927134,1
SA,Basic Materials,-0.0501,0.0,0.0,0.0,0.0,6.82989326467534,1
MTRN,Basic Materials,0.0918,0.0374,0.0529,17.1019,-0.0343,-18.953529528422976,0
ALO,Basic Materials,0.043,0.0596,0.0615,15.8333,-0.0406,-85.56701027126924,0
VGZ,Basic Materials,-0.7486,0.0,0.0,0.0,0.0,-3.4482726727597006,0
NAK,Basic Materials,-0.245,0.0,0.0,0.0,0.0,-22.50000055879353,0
THM,Basic Materials,-0.1461,0.0,0.0,0.0,0.0,-51.21951104274184,0
UFPI,Basic Materials,0.0079,0.0025,0.091,18.5823,0.0769,32.20690810346027,1
GSV,Basic Materials,-0.1831,0.0,0.0391,0.0,0.0,54.5454570084564,1
POL,Basic Materials,0.102,0.0206,1.3018,44.0814,0.0171,-14.774513982397512,0
KALU,Basic Materials,0.0707,0.0529,0.3914,17.7687,0.0452,19.1342959242083,1
KRO,Basic Materials,0.127,0.0601,0.4399,15.1395,-0.0465,-53.78877461949364,0
RGLD,Basic Materials,0.0266,0.2641,0.1324,79.3021,-0.18,-42.61836822432147,0
EVA,Basic Materials,-0.0117,-0.0109,0.3465,22.6875,0.6129,-9.559163061656507,0
MTX,Basic Materials,0.1071,0.0536,1.6632,25.9142,0.6942,-32.66154320366963,0
TREX,Basic Materials,0.3662,0.106,0.0,33.2656,0.1435,-10.430892813387208,0
GPL,Basic Materials,-0.7337,-0.607,0.0,0.0,-0.0769,-20.634920034218744,0
IBP,Basic Materials,0.1516,0.0269,0.5849,0.0,0.1993,39.80855632719405,1
APOG,Basic Materials,0.0786,0.0363,0.0582,34.2347,0.1017,6.380718343714921,1
AAON,Basic Materials,0.2537,0.1239,0.0,27.642,0.1096,6.843382873799679,1
AKG,Basic Materials,-0.059,0.0,0.1498,11.0,0.0,-1.3513500451867635,0
REX,Basic Materials,0.1256,0.0527,0.2711,9.5035,0.0144,-13.846397162390318,0
CBPX,Basic Materials,0.0524,0.0374,1.1508,47.9189,0.3632,-0.0572422969369639,0
IPHS,Basic Materials,0.1389,0.0767,0.2937,19.7466,-0.0059,-48.79908167489555,0
NX,Basic Materials,0.0695,0.0491,0.0019,25.3418,0.073,13.121503803444655,1
GORO,Basic Materials,0.1706,0.1303,0.0265,12.0714,-0.0825,-49.387783540379466,0
ICL,Basic Materials,0.156,0.0759,0.9835,19.863,-0.0257,-39.55692956845096,0
NEU,Basic Materials,0.5539999999999999,0.0999,0.8634,21.9548,0.0241,-3.993375654172647,0
BCPC,Basic Materials,0.1348,0.0976,0.8484,38.2989,0.6057,-4.742967921195304,0
TREC,Basic Materials,0.1286,0.0538,0.6643,22.9688,0.2261,-17.012725451669855,0
WWR,Basic Materials,-0.3431,0.0,0.1395,0.0,0.0,-72.91666666666666,0
LODE,Basic Materials,-0.4334,-0.3768,0.5215,0.0,0.0305,-51.80722891566265,0
TANH,Basic Materials,0.2357,0.2135,0.1565,24.2424,0.0698,-34.24999713897705,0
VHI,Basic Materials,0.1126,0.0282,1.9451,40.0625,-0.0241,-79.00249000890138,0
CLW,Basic Materials,-0.0047,-0.0012,1.1421,0.0,0.0409,-35.15168868679548,0
HWKN,Basic Materials,0.0992,0.052,0.0,21.3605,-0.0061,-13.29131905437674,0
GFF,Basic Materials,-0.0003,-0.0001,1.5022,0.0,0.0644,35.58704866089119,1
NRP,Basic Materials,0.151,0.3101,2.0466,9.8195,-0.0201,-86.78086137477737,0
TGB,Basic Materials,-0.1276,-0.1571,0.7431,0.0,0.0826,-67.61904580793134,0
APT,Basic Materials,0.0723,0.0575,0.0,17.1333,0.0877,-32.95018887593674,0
NWPX,Basic Materials,-0.0728,-0.0444,0.1953,0.0,0.122,-61.19972426775736,0
SCL,Basic Materials,0.1066,0.0296,0.5115,15.9681,0.0247,26.23935308899153,1
WDFC,Basic Materials,0.2582,0.1142,0.5785,24.0381,0.0392,18.89715215874252,1
NP,Basic Materials,0.238,0.0818,0.7904,14.7359,0.0742,5.242286756953291,1
TGLS,Basic Materials,0.2059,0.0482,2.0408,26.0256,0.0772,38.22938779990339,1
IOSP,Basic Materials,0.163,0.0875,0.2745,12.3768,0.1735,29.32499653400935,1
PLM,Basic Materials,-0.0414,0.0,0.1846,0.0,0.0,-26.1682259129565,0
FF,Basic Materials,0.1482,0.1556,0.0,10.6721,-0.2317,6.232203768027128,1
KWR,Basic Materials,0.158,0.0738,0.2118,21.555,0.05,-14.184144964930596,0
CMCL,Basic Materials,0.1198,0.1111,0.0,7.625,-0.1535,4.353202366474344,1
NTIC,Basic Materials,0.0897,0.1531,0.0,21.8804,0.1922,-35.03513283867377,0
TGEN,Basic Materials,-0.6092,-0.1937,0.4879,0.0,0.2204,-30.139723750448766,0
ASPN,Basic Materials,-0.5361,-0.6477,0.0013,0.0,0.1894,-26.86746949190187,0
CPAC,Basic Materials,0.0968,0.1552,0.4434,15.7667,-0.0592,-5.148928967573719,0
GURE,Basic Materials,0.0573,0.1572,0.0097,2.5217,-0.04,51.66666501098216,1
OSN,Basic Materials,0.0417,0.0312,0.6617,12.9474,0.085,-5.000004967053535,0
AAU,Basic Materials,-0.3779999999999999,0.0,0.0,0.0,-1.0,-28.42105098048073,0
CCCL,Basic Materials,-0.021,-0.0293,0.0757,0.0,0.1123,15.294116657085516,1
CCR,Basic Materials,0.6146,0.2508,1.0515,9.3636,0.5136,-35.853073482874265,0
CGA,Basic Materials,0.0768,0.1093,0.0723,2.716,0.0761,0.6578993461579525,1
CINR,Basic Materials,0.3015,0.0957,0.9824,11.5247,0.0518,-4.058652165152719,0
CTHR,Basic Materials,-0.2846,-0.0453,0.0,0.0,-0.0999,-36.72316289053839,0
FRD,Basic Materials,0.0271,0.0147,0.0,33.72,-0.1488,-21.274783073086013,0
FSI,Basic Materials,0.0355,0.0254,0.1638,37.7667,0.0067,-12.719300910338433,0
GMO,Basic Materials,-0.0865,0.0,0.0655,0.0,0.0,-69.23076764366326,0
HNRG,Basic Materials,0.0538,0.0424,1.6134,32.3824,0.5674,-58.10223801400068,0
IKNX,Basic Materials,0.0486,0.0351,0.0,45.5,0.0571,-21.748255726364032,0
JCTCF,Basic Materials,0.1021,0.0439,0.0,15.746,-0.1409,-0.7897327028852649,0
KGJI,Basic Materials,0.1833,0.0427,0.1889,0.206,-0.0692,-25.51020358513416,0
MPVD,Basic Materials,-0.0172,0.0,0.0,0.0,0.0,-33.56643479054354,0
ODC,Basic Materials,0.0801,0.0314,0.2147,22.9685,0.0628,16.595579300243095,1
PLG,Basic Materials,-0.0266,0.0,0.0,0.0,0.0,-72.0,0
POPE,Basic Materials,0.4963,0.3644,1.3973,22.5638,0.2373,4.891624425765159,1
SIM,Basic Materials,0.0192,0.0193,0.0002,19.9033,-0.0261,-30.416671219799078,0
TMQ,Basic Materials,-0.2691,0.0,0.0,0.0,0.0,-50.0,0
TRX,Basic Materials,-0.0485,0.0,0.0,0.0,0.0,-57.8124973806552,0
UAMY,Basic Materials,-0.1228,-0.1481,0.0673,0.0,-0.0226,-61.84210588231971,0
USAP,Basic Materials,0.0199,0.0197,0.4266,43.3621,0.1371,-62.82512986418747,0
USLM,Basic Materials,0.1252,0.1293,0.1077,20.9971,0.1202,-22.92690725928491,0
WRN,Basic Materials,-0.0396,0.0,0.0,0.0,0.0,-55.00000000000001,0
PFE,Healthcare,0.1281,0.1842,0.5145,21.6319,-0.0384,6.4726771164408206,1
BMY,Healthcare,0.1349,0.1262,0.5273,48.7851,-0.0309,18.29402744976084,1
GILD,Healthcare,0.7845,0.4862,0.8041,11.8566,1.2219,7.888132292416955,1
MRK,Healthcare,0.245,0.2822,0.44,13.784,-0.0408,-4.560273509730981,0
JNJ,Healthcare,0.1868,0.1939999999999999,0.2455,18.1603,0.0423,1.1905740029319023,1
BSX,Healthcare,-0.0184,-0.0161,0.6573,0.0,0.0332,39.48562905893195,1
ABT,Healthcare,0.1056,0.1128,0.3618,30.0133,0.03,2.1440156318566066,1
WBA,Healthcare,0.0942,0.0253,0.2189,29.5616,0.0578,13.91493661723583,1
CDNA,Healthcare,0.0189,0.0286,0.2763,55.7692,0.2357,-11.418682631900914,0
MDT,Healthcare,0.1576,0.1802,0.6135,19.0229,0.025,9.107948118022785,1
CVS,Healthcare,0.1223,0.0333,0.3396,24.1985,0.0994,4.210520704719567,1
UNH,Healthcare,0.1731,0.0431,0.5363,17.4896,0.0652,18.63508999939808,1
CNC,Healthcare,0.1554,0.0164,0.504,22.2854,0.5244,26.024504060146857,1
CI,Healthcare,0.1951,0.0602,0.4758,12.9122,0.0783,42.34949512239916,1
SYNH,Healthcare,-0.0598,-0.0199,1.0613,0.0,0.1846,94.58482843043495,1
CELG,Healthcare,0.3065,0.2607,1.0532,44.9237,0.1812,5.496833754130657,1
BIIB,Healthcare,0.2715,0.3025,0.054,27.3309,0.3997,-10.426596486619417,0
GSK,Healthcare,0.6465,0.1198,4.4063,23.944000000000003,-0.1834,0.5146346941643082,1
TEVA,Healthcare,0.131,0.1507,0.4429999999999999,16.0642,-0.0021,19.392223196191978,1
MYL,Healthcare,0.2855,0.1204,2.6117,22.6386,0.1173,-4.046138138484549,0
XRAY,Healthcare,0.1391,0.1105,0.5436,23.364,-0.0096,17.808506952062963,1
ALXN,Healthcare,0.1989999999999999,0.2941,0.0498,55.7319,0.44,2.224005230837014,1
ENDP,Healthcare,-0.3037,-0.303,1.7924,0.0,0.1205,-15.148995251587609,0
AMGN,Healthcare,0.2001,0.2571,1.1915,23.425,0.0743,3.565378509741989,1
TLGT,Healthcare,0.1342,0.1556,2.6474,80.0,0.8514,-1.8743118193372768,0
PDCO,Healthcare,0.1363,0.0559999999999999,0.4926,20.6131,-0.0143,-5.186343358649031,0
BKD,Healthcare,-0.0517,-0.0389,2.1675,0.0,0.3249,-49.70027601984682,0
BDX,Healthcare,0.2345,0.1403,0.7859,18.5661,0.0487,12.065701083040633,1
ANTM,Healthcare,0.106,0.0348,0.6203,13.4984,0.0401,13.06360855784438,1
ZBH,Healthcare,0.11,0.1541,0.2176,26.6244,0.0108,-8.122875416940934,0
DXCM,Healthcare,-0.1598,-0.0864,0.0328,0.0,0.62,50.24766840531304,1
LLY,Healthcare,0.1555,0.1219,0.5218,30.9372,-0.1513,23.477397711614906,1
HSIC,Healthcare,0.1657,0.0449,0.26,19.5072,0.0848,15.602159238470142,1
CYH,Healthcare,0.023,0.0049,4.2258,54.3439,0.4539999999999999,-50.69689671958534,0
BAX,Healthcare,0.3075,0.233,1.1119,8.6356,0.1387,-0.8082384247446768,0
AGN,Healthcare,-0.0576,-0.3487,0.5482,0.0,0.7969,20.639373042809,1
A,Healthcare,0.1036,0.1356,0.3137,23.965,0.0395,4.179245535338459,1
MNK,Healthcare,-0.0644,0.0343,0.7856,0.0,-0.1673,-23.030117617472893,0
AZN,Healthcare,0.0629,0.0465,0.5525,71.8163,0.0287,6.47192103401333,1
DHR,Healthcare,0.1111,0.2019,0.1486,17.5624,-0.2962,9.47159300701546,1
PDLI,Healthcare,0.6999,0.5544,0.9811,3.7794,0.2739,-48.39721774269552,0
PKI,Healthcare,0.0773,0.0762,0.5124,31.3786,-0.0407,22.205430465383163,1
UHS,Healthcare,0.146,0.0665,0.8776,20.1558,0.1136,8.022200973811628,1
ACHC,Healthcare,0.0943,0.0827,1.2255,40.5364,0.4082,4.134710838885516,1
NVS,Healthcare,0.1443,0.1904,0.2884,19.7218,0.0174,-4.093343467871145,0
BMRN,Healthcare,-0.0877,-0.1788,0.4208,0.0,0.3661,13.659546726048529,1
INSM,Healthcare,-0.425,0.0,0.1335,0.0,-1.0,13.721801849303564,1
HZNP,Healthcare,-0.488,-0.8877,0.6396,0.0,3.012,69.29687307332645,1
AKBA,Healthcare,-0.3558,0.0,0.0,0.0,0.0,12.347826750382133,1
TMO,Healthcare,0.0922,0.1122,0.7088,26.3214,0.2902,11.23437872986788,1
QGEN,Healthcare,0.0439,0.0865,0.4423,48.7734,0.0329,18.31408287924312,1
LIVN,Healthcare,0.2118,0.1946,0.0,31.9315,0.1089,-15.10081699872298,0
DGX,Healthcare,0.1293,0.0748,0.87,17.5091,0.0404,5.369226296752549,1
SGMO,Healthcare,-0.1278,-0.5759,0.0,0.0,0.9007,-40.20956227411909,0
MCK,Healthcare,0.1482,0.0092,1.2431,32.0454,0.1244,-4.339822980014956,0
ABC,Healthcare,0.1401,0.0023,1.0198,63.8843,0.3594,16.000193073674275,1
VNDA,Healthcare,0.1255,0.4025,0.0,24.6897,0.4805,-36.14540145175657,0
EW,Healthcare,0.3701,0.3492,0.2729,16.7165,0.1356,23.676797059302118,1
IONS,Healthcare,-0.1512,-0.182,1.7759,0.0,0.4541,0.5847013352865509,1
ZTS,Healthcare,0.4447,0.1218,2.7696,37.0948,0.0491,11.451098391439109,1
SYK,Healthcare,0.0599,0.0532,0.4622,69.3603,0.0725,0.3752055329998,1
PCRX,Healthcare,-0.0801,-0.0694,0.6024,0.0,1.3105,-15.837349064625672,0
ILMN,Healthcare,0.2416,0.1898,0.8826,72.6169,0.3097,3.5217338171619823,1
ISRG,Healthcare,0.1239,0.1965,0.0,46.6067,-0.0589,3.917647657241562,1
PODD,Healthcare,-0.6143,-0.2226,2.0239,0.0,-0.0638,-16.31252519279081,0
CAH,Healthcare,0.1822,0.0128,0.6205,20.0468,-0.099,12.851987927584563,1
DVA,Healthcare,0.1399,0.0565,1.6282,22.2111,0.0876,-8.070687852833077,0
AMPE,Healthcare,-0.4735,0.0,0.0,0.0,-1.0,-6.666666666666668,0
HUM,Healthcare,0.1189,0.0236,0.4312,19.3051,0.174,25.6292635585094,1
OMI,Healthcare,0.0671,0.0069999999999999,0.6142,33.1226,0.0406,6.15577423054975,1
RMD,Healthcare,0.1964,0.222,0.1711,20.75,0.0268,-4.1847063055595655,0
GRFS,Healthcare,0.1769,0.1401,1.6374,20.3435,0.0771,-3.814521923670768,0
WMGI,Healthcare,-0.9314,-0.8713,1.0091,0.0,0.2298,-3.7037048290328993,0
ESPR,Healthcare,-0.2724,0.0,0.0365,0.0,0.0,-46.010185602649535,0
LH,Healthcare,0.1812,0.085,1.0742,17.8939,0.035,10.967511597131807,1
MOH,Healthcare,0.0614,0.0064,0.8782,40.2481,0.4671,14.686249700783096,1
COO,Healthcare,0.105,0.1571,0.5379,29.2157,0.0819,-16.413442864628337,0
BRKR,Healthcare,0.074,0.0313,0.4635,57.7059,-0.0166,23.63728797213845,1
NBIX,Healthcare,-0.2901,0.0,0.0,0.0,-1.0,147.67950664139792,1
HAE,Healthcare,0.0419,0.0375,0.5224,47.9265,0.0522,-12.67604746095308,0
LMNX,Healthcare,0.122,0.172,0.0,19.9574,0.0635,13.65567392496956,1
BEAT,Healthcare,-0.1538,-0.0588,0.3885,0.0,0.2863,16.683317064024607,1
SNY,Healthcare,0.0782,0.1399,0.264,22.5591,-0.1081,-3.1812483871658688,0
SPPI,Healthcare,-0.1796,-0.2447,0.3783,0.0,0.1988,-15.664333854830897,0
ONCS,Healthcare,-0.3155,0.0,0.0,0.0,0.0,-74.2391296055006,0
SGEN,Healthcare,-0.3611,-0.2655,0.0,0.0,0.065,37.92255625505999,1
TFX,Healthcare,0.0982,0.102,0.5589999999999999,25.2907,0.0846,15.881241828235636,1
QDEL,Healthcare,-0.0289,-0.0384,0.584,0.0,0.0385,-24.285711560930533,0
LCI,Healthcare,0.1939,0.2086,0.0039,29.1882,0.8124,-7.301293753556447,0
WST,Healthcare,0.1328,0.0894,0.3506,29.743,0.0387,16.389454755910947,1
MRNS,Healthcare,-0.2632,0.0,0.1701,0.0,0.0,-33.56521855229917,0
ALGN,Healthcare,0.1937,0.1915,0.0,30.8895,0.1537,17.170814199606273,1
NUVA,Healthcare,-0.0261,-0.0219,0.5636,0.0,0.1127,16.016297852613313,1
BIOS,Healthcare,-0.6802,-0.1598,1.9548,0.0,0.3248,-73.9583325202739,0
ARAY,Healthcare,-0.3597,-0.096,1.9849,0.0,0.1691,-6.3800282345795445,0
PRGO,Healthcare,0.0268,0.0595,0.3689,72.1584,0.1057,-12.84081702395626,0
MDCO,Healthcare,-0.035,-0.0488,0.268,0.0,0.0562,40.2178044661755,1
MMSI,Healthcare,0.0528,0.0451,0.5158,32.6981,0.135,10.130338132929325,1
VAR,Healthcare,0.2497,0.1324,0.2707,18.2838,0.0363,-7.147778389555263,0
DRNA,Healthcare,-0.4875,0.0,0.0,0.0,0.0,-32.518477643033265,0
CRL,Healthcare,0.1885,0.0976,1.1491,23.6912,0.1134,25.845331943449093,1
FGEN,Healthcare,-0.2688,-0.4324,0.4373,0.0,0.3468,10.880639814140396,1
ACHN,Healthcare,-0.481,0.0,0.0033,0.0,0.0,-19.054763513808396,0
SNN,Healthcare,0.124,0.1085,0.422,32.7451,0.0611,0.7640986644900389,1
HRC,Healthcare,0.0751,0.0359,0.6088,39.4571,-0.0175,7.519961477873073,1
